ID,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,
19,3,20,12,25,9,5,1,1,2,3,4,4,5,5,5,5,5,5,4,2,2,5,4,4,4,1,4,4,2,2,2,3,4,2,2,4,4,4,3,6,2,.,1,1,0,1,6,5,5,1,4,1,
20,25,25,1,25,1,25,1,1,1,1,1,1,1,1,1,1,1,1,5,4,5,4,1,5,5,1,1,1,1,5,5,1,1,2,5,5,5,5,5,4,1,1,1,2,2,2,2,2,2,2,6,1,
21,9,20,16,25,9,20,1,1,2,2,2,2,3,3,3,3,3,3,5,1,1,4,5,5,3,1,5,5,3,1,1,1,5,1,5,2,5,3,3,6,1,1,1,2,0,1,6,2,2,1,8,1,
22,16,16,25,15,16,15,1,1,1,1,2,2,3,3,3,3,4,4,1,1,1,4,4,4,4,1,1,5,3,2,2,1,3,4,4,2,5,4,4,5,2,2,1,1,0,1,2,.,5,1,4,1,
23,12,16,15,15,25,20,2,2,2,2,3,3,3,3,3,4,4,4,3,3,2,3,4,3,4,2,2,4,2,2,2,2,4,2,2,2,4,4,3,3,1,1,1,2,0,2,5,5,1,2,8,1,
24,12,6,5,6,20,20,3,3,3,4,4,4,5,5,5,5,5,5,4,2,2,2,5,4,5,1,5,1,1,1,1,1,4,4,3,2,3,5,3,3,1,1,1,2,2,2,5,4,1,1,6,1,
25,.,.,.,.,.,.,3,3,3,3,3,3,1,1,1,1,1,1,5,1,2,4,4,1,4,1,2,2,1,1,4,1,5,2,4,3,3,1,2,5,2,2,2,2,0,2,2,.,5,0,1,2,
26,12,16,12,6,9,16,2,2,3,3,3,4,4,4,4,5,5,5,3,2,3,3,4,2,4,2,3,4,2,3,3,3,4,3,3,4,3,4,3,3,1,1,1,2,0,1,6,3,1,1,3,1,
27,15,12,5,8,25,20,1,1,1,1,1,3,3,3,3,4,4,5,5,2,5,4,4,3,5,1,4,5,1,2,2,3,5,3,2,2,3,5,3,5,2,2,1,2,0,1,4,.,5,1,7,1,
28,16,12,16,3,25,16,3,3,3,4,4,4,5,5,5,5,5,5,5,2,2,3,4,2,5,1,3,4,1,2,2,1,4,2,2,2,3,5,6,4,1,2,1,2,0,2,6,.,5,2,8,1,
29,20,15,9,25,20,20,2,2,4,5,5,5,5,5,5,5,5,5,4,1,1,4,5,5,4,2,5,5,2,1,1,3,4,2,4,2,4,4,2,5,1,1,1,2,3,2,6,5,5,1,3,1,
30,12,25,25,25,4,20,1,1,1,1,1,1,1,2,2,2,2,2,4,2,2,4,4,1,4,1,4,4,2,1,1,1,4,4,1,2,1,5,4,3,1,1,1,2,1,3,6,4,5,1,6,1,
31,12,10,6,16,8,12,1,1,1,2,2,3,3,4,4,5,5,5,4,5,2,2,5,4,4,1,2,5,2,2,4,4,4,4,2,4,4,4,4,5,1,1,1,5,0,4,5,2,4,3,3,1,
32,20,12,4,12,4,12,5,5,5,4,4,3,3,2,2,2,1,1,4,2,2,2,4,2,4,4,4,4,3,2,2,2,3,4,2,3,3,4,4,5,2,2,1,3,1,5,2,.,5,3,3,1,
33,16,20,1,1,.,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,4,3,5,2,3,4,2,2,2,2,2,4,4,4,3,4,1,6,1,1,1,2,0,2,4,3,5,1,4,1,
34,.,25,.,20,9,20,1,1,2,2,3,4,4,4,5,5,5,5,4,2,2,4,5,5,4,3,.,3,3,2,2,4,4,2,4,3,4,4,2,2,1,2,1,1,0,1,6,.,2,0,.,1,
35,12,25,25,12,12,25,1,1,1,1,2,2,2,3,3,4,4,5,5,2,2,4,4,2,4,5,4,5,2,1,1,4,2,2,2,5,2,5,7,5,1,1,1,2,0,2,2,3,5,2,8,1,
36,20,20,15,12,16,16,1,1,2,2,2,3,3,3,4,4,4,4,3,3,4,3,2,4,4,2,2,3,2,2,3,2,3,2,4,4,4,4,3,5,1,1,1,2,0,2,3,2,5,1,5,1,
37,9,15,12,9,16,5,1,2,2,3,3,4,4,4,4,5,5,5,4,4,3,4,2,4,4,2,2,4,2,2,2,1,3,4,3,4,4,4,2,3,1,1,1,2,2,2,2,3,3,.,3,1,
38,16,25,12,3,25,12,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,4,3,4,5,1,2,4,2,2,2,2,2,2,3,2,3,5,1,5,1,1,1,2,1,2,6,6,5,2,7,2,
39,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,1,2,4,4,4,2,2,4,1,4,1,2,1,4,4,2,4,4,2,.,6,1,1,1,2,0,2,5,3,5,0,6,1,
40,12,9,9,12,12,9,3,3,2,2,1,1,1,1,1,1,1,1,4,4,2,4,4,5,5,2,2,4,2,2,2,2,4,2,4,2,4,2,3,5,1,1,1,2,0,2,4,4,5,1,5,1,
41,12,25,25,16,8,25,1,1,1,2,2,2,3,4,4,5,5,5,5,2,3,4,5,3,5,1,3,4,1,4,2,1,5,4,3,3,3,5,2,3,2,2,1,1,0,1,6,.,2,1,4,1,
42,15,20,16,25,25,25,4,5,5,5,5,5,5,5,5,5,5,5,3,2,2,2,4,4,5,1,3,5,3,4,2,1,4,2,2,2,3,5,7,4,2,2,1,1,2,1,5,.,5,1,3,1,
43,16,12,.,12,16,20,1,1,1,2,2,2,3,3,4,5,5,5,2,2,1,4,4,4,4,1,2,4,2,2,2,1,2,3,2,2,3,4,4,3,1,1,1,2,4,2,6,5,2,1,8,1,
44,25,20,6,8,16,8,3,4,4,5,5,5,5,5,5,5,5,5,4,2,2,4,5,3,5,1,4,4,2,2,2,2,4,3,2,4,3,5,4,3,1,1,1,2,2,3,6,5,5,1,8,1,
45,16,16,16,25,25,25,2,2,3,4,4,4,5,5,5,5,5,5,4,2,1,5,5,2,4,1,5,5,1,1,2,1,5,2,3,2,4,5,4,5,2,2,1,1,0,1,4,.,5,1,6,1,
46,4,9,9,25,6,20,1,1,2,3,4,5,5,5,5,5,5,5,4,2,2,2,4,2,5,1,2,5,2,5,5,1,2,4,2,5,2,5,4,5,1,1,1,2,0,2,3,1,5,1,5,1,
47,16,16,9,5,20,5,2,2,2,3,4,4,4,4,4,4,4,4,4,2,4,4,4,2,3,2,4,4,2,2,2,3,4,4,2,2,4,4,2,5,2,2,1,1,0,1,3,.,5,1,8,1,
48,12,8,15,15,15,15,1,1,1,1,2,2,2,3,3,4,5,5,4,1,2,2,5,3,4,2,3,5,2,1,1,2,4,3,2,4,3,4,2,2,2,2,1,5,0,5,4,.,5,3,8,1,
49,10,15,6,20,10,6,2,2,2,2,1,1,1,1,1,1,1,1,5,1,2,1,1,2,4,1,2,1,1,1,1,1,5,5,5,1,1,5,2,3,2,1,1,2,3,3,4,4,3,2,5,2,
50,16,6,9,1,16,6,3,4,4,5,5,5,5,5,5,5,5,5,4,2,1,4,4,4,3,2,2,4,3,2,2,3,4,2,3,2,4,3,2,6,1,1,1,2,0,2,6,6,5,1,4,1,
51,25,25,25,25,25,25,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,5,5,5,5,5,5,5,1,1,1,1,5,1,5,1,5,5,.,5,2,1,1,2,0,1,6,4,5,.,4,1,
52,12,16,16,4,6,16,5,5,5,5,5,5,5,5,5,5,5,5,2,1,1,5,5,4,5,1,3,4,2,1,1,3,1,3,3,1,5,4,5,5,2,1,1,2,0,1,3,2,5,1,2,1,
53,20,25,10,15,12,25,3,3,3,2,2,2,1,1,1,1,1,1,5,2,2,4,4,2,5,2,4,4,1,4,2,1,5,4,2,2,2,5,4,2,2,2,1,1,1,1,6,.,2,1,3,2,
54,12,9,.,20,25,15,1,1,1,1,1,2,3,4,4,5,5,5,3,4,2,4,4,2,4,5,4,2,2,2,2,5,5,3,2,2,2,4,2,4,1,1,1,2,1,4,6,2,4,2,8,1,
55,12,12,15,15,16,15,5,5,5,5,5,5,5,5,5,5,5,5,3,2,2,3,4,3,3,2,3,4,3,2,3,2,4,3,2,4,3,3,2,3,1,2,1,2,0,3,6,.,1,1,4,1,
56,20,25,4,20,1,25,1,.,.,.,.,.,.,.,.,.,.,.,5,2,4,4,5,4,4,4,5,5,4,2,2,5,4,2,4,4,4,4,3,6,2,2,2,1,0,0,1,.,5,1,1,2,
57,12,16,12,5,12,15,1,1,2,3,3,3,4,4,4,5,5,5,4,2,3,4,3,3,4,2,3,4,3,2,2,3,4,2,4,2,3,4,2,3,2,1,1,2,2,2,2,2,4,2,6,1,
58,8,20,16,15,3,16,1,1,1,1,1,1,1,2,2,2,2,2,4,2,2,2,4,2,1,2,3,4,2,2,2,4,4,2,2,4,2,4,2,2,1,1,1,2,0,2,6,5,1,1,3,1,
59,20,16,20,20,16,25,3,3,2,2,2,1,1,1,1,1,1,1,3,4,5,2,3,5,5,1,3,4,2,5,2,1,3,4,5,3,5,5,4,4,2,1,1,2,0,2,3,2,3,2,6,1,
60,25,25,9,25,25,25,5,5,5,5,5,5,5,5,5,5,5,5,2,1,1,4,5,5,5,1,2,5,1,1,1,2,5,5,5,1,3,5,.,6,2,2,2,1,0,0,1,.,5,0,2,1,
61,25,12,16,25,12,16,3,3,3,4,4,5,5,5,5,5,5,5,5,2,3,5,3,5,5,1,3,2,1,2,2,1,4,3,3,2,3,5,4,4,2,1,1,4,2,4,4,5,3,2,8,1,
62,25,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,.,3,2,2,4,3,3,4,1,1,4,1,1,1,1,2,2,4,4,4,4,2,6,1,2,1,1,0,3,1,.,3,0,2,1,
63,25,20,20,25,25,25,3,4,5,5,5,5,5,5,5,5,5,5,3,2,1,4,5,4,3,3,4,5,3,2,2,3,4,3,2,2,3,3,7,6,2,2,1,2,0,2,6,.,5,1,5,1,
64,12,12,16,12,12,4,1,1,1,1,1,1,1,1,1,2,2,2,4,1,2,4,5,4,5,1,4,5,2,1,2,1,5,4,2,2,4,4,3,4,1,1,1,2,3,3,4,3,4,1,8,1,
65,25,20,9,25,16,20,1,1,2,2,3,3,4,4,4,4,5,5,4,1,1,2,5,3,5,1,3,5,1,2,1,1,5,4,3,1,1,5,.,6,2,2,1,1,0,1,6,.,5,0,4,1,
66,3,4,4,3,3,5,2,2,3,4,5,5,5,5,5,5,5,.,4,1,2,4,4,4,4,2,3,2,2,4,2,2,5,4,4,4,4,4,5,5,1,1,1,4,0,5,6,4,5,4,8,1,
67,20,12,9,25,20,25,3,3,3,3,3,3,3,3,3,3,3,3,5,2,3,5,5,4,4,1,3,4,1,2,2,3,4,4,4,3,4,1,3,4,2,2,1,2,0,2,4,.,2,1,3,1,
68,.,.,.,.,.,.,3,.,.,.,.,.,.,.,.,.,.,.,5,2,2,4,4,4,4,2,2,2,2,2,2,2,3,4,4,4,3,5,1,6,1,1,1,3,0,1,.,1,3,0,1,2,
69,20,9,9,8,16,12,3,3,3,4,4,4,4,4,4,4,4,4,4,2,2,4,4,3,4,2,4,4,2,2,2,2,4,2,2,4,3,4,4,4,1,1,1,2,3,1,6,6,3,1,4,1,
70,16,9,9,12,16,16,4,4,5,5,5,5,5,5,5,5,5,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,4,2,4,4,1,5,1,1,1,2,0,2,6,6,5,2,8,1,
71,15,16,12,12,9,9,1,2,2,2,2,2,2,2,2,2,2,2,4,2,4,4,3,4,5,2,4,4,2,2,3,2,3,2,5,2,5,5,5,5,1,1,1,2,0,2,6,6,5,2,7,2,
72,25,15,25,25,25,25,3,3,3,4,4,4,4,4,4,4,4,4,4,1,1,3,5,1,4,1,3,5,1,1,1,3,.,4,2,1,2,2,4,6,1,1,1,2,0,3,5,3,5,2,2,1,
73,15,16,9,16,20,15,3,3,3,4,4,4,4,4,4,5,5,5,5,1,1,4,5,5,3,2,3,5,3,1,1,3,5,3,4,1,4,2,4,4,1,1,1,4,2,3,5,3,5,2,8,1,
74,25,12,4,15,20,15,1,1,2,2,3,3,3,4,4,5,5,5,4,2,1,4,5,4,5,1,5,4,1,1,2,1,5,3,2,4,5,5,4,6,1,1,1,2,0,1,4,.,5,0,3,1,
75,8,12,12,20,12,20,1,1,1,1,1,1,1,1,1,1,1,1,4,2,4,2,2,2,5,1,1,4,2,2,2,2,2,2,2,4,3,4,.,5,2,1,1,2,0,2,4,4,5,1,8,1,
76,16,12,16,15,10,10,1,2,3,4,4,4,4,5,5,5,5,5,4,2,2,3,4,2,4,1,3,4,2,1,2,1,4,3,2,3,2,4,6,4,2,2,1,1,0,1,5,.,1,1,5,1,
77,16,20,20,25,12,12,3,3,3,4,4,4,5,5,5,5,5,5,4,2,2,2,4,2,4,1,4,4,2,2,2,1,5,1,2,4,3,4,3,4,1,1,1,2,2,3,2,5,2,1,7,1,
78,6,12,12,4,6,8,.,.,.,.,.,.,.,.,.,.,.,.,5,1,2,4,4,4,3,2,3,4,3,2,2,2,3,4,4,2,4,4,2,6,1,1,1,2,0,2,6,5,5,.,7,1,
79,6,16,16,20,6,16,3,4,4,4,4,4,5,5,5,5,5,5,4,2,2,2,4,5,4,2,2,4,2,2,2,2,4,4,4,2,4,4,3,5,1,1,1,2,0,1,5,5,5,1,8,1,
80,12,8,6,20,9,12,5,5,4,4,3,3,3,2,2,1,1,1,3,4,3,2,3,2,3,3,2,4,3,1,1,3,5,3,2,2,3,4,5,2,2,1,1,2,0,2,2,2,1,2,2,1,
81,3,25,25,15,12,25,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,2,4,4,3,1,2,4,3,1,1,1,2,4,4,2,4,3,6,4,1,1,1,3,0,3,5,4,5,1,8,1,
82,20,16,9,3,15,.,3,3,4,4,4,4,4,5,5,5,5,5,4,2,1,4,5,3,3,3,4,5,2,1,1,2,2,4,2,1,2,1,5,4,2,2,2,3,0,1,4,.,5,2,1,1,
83,6,16,16,16,6,12,2,2,2,2,3,3,3,4,4,4,4,4,5,2,3,1,4,3,5,2,3,4,3,3,1,2,1,4,2,3,4,4,2,2,1,2,1,1,0,1,4,.,4,1,4,1,
84,20,20,16,20,20,20,5,3,3,3,3,4,4,5,5,5,5,5,4,2,2,4,4,5,4,1,4,4,2,5,1,4,5,1,4,2,4,4,.,6,2,2,1,1,0,1,2,.,5,0,1,1,
85,25,12,16,20,9,20,1,1,3,4,5,5,5,5,5,5,5,5,4,2,3,4,2,4,5,1,1,4,5,5,2,1,1,2,3,4,4,5,4,6,2,2,1,1,0,1,2,.,3,0,1,1,
86,9,20,16,25,20,20,2,2,2,2,2,2,2,2,2,3,3,4,4,2,2,4,5,5,3,5,5,4,3,2,2,1,4,2,4,5,4,3,6,5,1,1,1,2,.,2,1,2,5,1,8,1,
87,9,25,16,25,9,25,3,3,4,4,4,4,5,5,5,5,5,5,4,2,2,4,4,3,4,1,3,5,2,2,3,1,3,2,4,4,4,5,5,5,2,1,1,2,0,3,2,4,5,2,8,1,
88,12,9,6,9,9,9,2,2,3,3,4,4,4,4,5,5,5,5,4,2,2,5,5,4,4,2,2,4,2,2,2,2,2,4,4,2,4,4,6,5,1,1,1,2,0,2,4,3,5,1,7,1,
89,16,12,8,8,16,8,3,3,3,4,4,4,4,5,5,5,5,5,4,2,4,2,4,3,2,2,4,4,3,2,2,3,4,4,2,3,2,4,3,2,1,2,1,3,0,3,5,.,4,3,8,1,
90,16,8,12,16,25,15,4,5,5,5,5,5,5,5,5,5,5,5,2,4,1,4,1,3,1,1,3,1,1,5,1,1,2,4,3,2,3,5,4,4,1,1,1,2,2,2,5,4,4,1,4,2,
91,8,25,20,6,4,12,1,1,1,1,1,1,2,2,3,3,4,4,2,2,2,2,4,4,5,1,2,5,2,1,2,1,4,4,4,4,4,5,4,5,1,1,1,3,0,3,6,4,4,3,8,1,
92,16,9,9,25,16,16,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,2,.,2,4,2,2,.,2,4,4,3,3,4,2,2,2,1,3,4,1,1,1,2,0,1,2,2,3,2,.,1,
93,15,25,25,1,15,25,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,5,5,1,1,5,5,4,1,1,5,5,4,5,1,5,1,4,3,1,1,1,2,2,2,6,6,2,1,8,1,
94,25,16,15,20,25,25,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,3,5,4,3,1,4,4,3,1,1,1,5,2,3,2,3,3,3,4,1,1,1,2,2,2,6,5,3,1,6,1,
95,16,12,9,16,8,12,1,1,1,2,2,2,3,3,3,3,.,4,4,2,2,3,4,3,4,2,3,4,2,2,2,2,3,3,3,4,3,4,1,2,2,2,1,1,0,1,6,.,2,1,1,1,
96,15,6,9,20,3,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,2,2,3,2,1,1,1,2,1,2,2,1,2,4,2,2,3,5,7,4,1,1,1,2,2,3,2,6,5,1,5,1,
97,16,20,9,16,10,25,1,1,1,2,3,3,4,.,5,5,5,5,2,2,2,3,4,1,4,2,4,5,3,2,2,3,5,3,1,2,3,4,3,2,2,2,1,2,0,1,5,.,1,0,1,1,
98,4,9,6,16,6,12,.,.,.,.,4,.,.,.,.,.,.,.,4,2,4,2,4,4,4,1,1,4,2,2,2,1,2,2,4,2,4,4,.,6,1,1,1,2,0,2,4,1,3,0,2,1,
99,15,16,9,16,15,12,3,3,3,4,4,4,4,5,5,5,5,5,5,1,1,5,5,2,5,1,5,3,1,3,3,3,5,2,2,2,2,5,5,5,2,2,2,2,0,1,3,.,3,2,4,1,
100,12,16,16,12,16,20,3,3,3,3,3,4,4,4,5,5,5,5,2,2,2,3,5,3,5,2,4,5,2,1,1,2,5,4,3,2,3,4,1,4,2,1,1,2,1,2,4,6,4,2,8,1,
101,12,12,.,16,9,20,1,1,1,1,1,1,2,3,3,3,4,4,4,2,4,3,2,4,5,1,2,4,1,2,2,1,2,2,5,4,5,5,2,4,1,1,1,2,2,3,5,6,2,2,7,1,
102,12,20,20,8,12,16,1,1,1,2,2,2,3,3,4,5,5,5,4,2,2,4,2,5,5,2,2,3,2,4,3,1,4,2,5,3,5,4,4,5,1,1,1,2,1,3,2,2,5,2,8,1,
103,9,12,20,9,4,15,1,1,1,2,2,2,2,3,3,4,5,5,3,1,2,4,5,5,4,1,2,5,3,1,1,1,4,4,4,2,4,2,3,5,1,1,1,2,1,3,5,4,4,2,8,1,
104,15,12,15,15,25,15,1,1,1,2,2,2,3,4,5,5,5,5,5,1,2,4,1,3,5,1,2,5,1,1,1,1,1,4,3,4,3,5,4,5,1,1,1,3,0,4,4,2,4,2,8,1,
105,15,25,25,5,15,10,1,1,1,1,1,1,1,1,1,1,1,1,4,2,4,4,4,2,4,2,4,2,4,2,2,2,4,2,3,2,3,2,6,3,1,2,1,2,0,3,5,.,5,1,8,1,
106,.,.,.,.,.,.,3,3,3,4,4,5,5,5,5,5,5,5,4,3,2,4,3,4,3,2,4,4,3,2,2,1,4,4,4,2,4,3,3,6,1,1,1,2,0,2,5,4,3,1,8,1,
107,9,25,15,25,20,25,2,2,3,3,4,4,4,5,5,5,5,5,5,2,2,4,4,2,5,1,3,2,2,2,2,2,3,2,2,3,3,4,3,3,2,2,1,1,1,2,4,.,2,1,3,1,
108,25,16,12,20,20,20,2,3,5,5,5,5,5,5,5,5,5,5,2,4,3,2,2,4,5,1,2,3,1,4,2,4,1,2,2,2,4,5,3,4,1,1,1,2,2,2,1,2,4,1,3,1,
109,9,25,25,25,4,25,1,1,2,3,3,4,4,4,5,5,5,5,3,3,2,2,3,1,4,1,1,3,1,1,2,2,2,3,2,2,3,4,7,4,1,1,1,2,2,3,1,2,5,1,5,1,
110,20,25,20,20,25,25,1,1,2,3,3,4,5,5,5,5,5,5,4,1,1,4,5,5,5,1,3,4,2,1,2,3,2,3,4,2,4,4,4,2,2,1,1,2,0,3,3,5,1,2,4,1,
111,4,16,12,1,4,16,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,5,5,5,1,5,2,4,4,2,4,5,4,4,2,4,5,5,5,1,1,1,3,0,4,4,2,5,3,8,1,
112,3,25,25,3,3,25,1,2,2,2,.,3,3,3,3,3,4,4,4,4,2,3,3,5,2,5,1,5,3,1,1,1,4,4,5,3,5,4,4,5,1,1,1,2,0,2,6,2,3,2,8,1,
113,16,12,6,12,4,9,4,4,3,3,2,2,2,1,1,1,1,1,4,1,3,4,5,3,5,1,2,2,1,5,2,1,2,2,2,4,3,5,5,3,2,1,1,3,1,3,6,5,3,2,5,1,
114,20,16,15,16,20,12,3,3,4,4,4,4,4,5,5,5,5,5,4,2,2,2,4,4,5,2,2,4,2,2,2,2,4,3,3,2,3,4,4,2,1,2,1,4,1,4,4,.,5,4,8,1,
115,12,12,10,12,12,20,4,4,4,4,4,4,5,5,5,5,5,5,5,1,2,4,4,2,4,1,2,4,1,1,2,1,4,2,2,2,2,1,3,3,1,2,1,2,0,0,5,.,5,1,2,1,
116,25,20,25,20,25,25,2,3,3,4,4,4,5,5,5,5,5,5,4,1,2,4,4,2,5,3,4,3,3,4,2,3,4,4,2,2,2,3,6,2,2,2,1,3,1,4,4,.,5,2,6,1,
117,10,12,16,1,20,12,3,3,3,3,3,3,3,3,4,4,5,5,4,1,1,5,5,2,4,1,4,3,3,1,1,2,5,3,2,1,4,4,3,3,2,1,1,2,2,3,4,1,5,1,8,1,
118,20,12,16,5,15,20,2,2,3,3,4,4,5,5,5,5,5,5,2,2,2,4,4,2,4,2,2,4,2,4,2,2,2,4,4,2,4,4,5,2,2,1,1,2,0,2,5,4,1,2,3,2,
119,1,25,25,25,9,16,.,.,.,.,.,.,.,.,.,.,.,.,4,1,2,4,5,4,5,1,3,4,1,2,2,4,2,2,4,2,5,5,.,6,1,1,1,2,0,1,4,3,5,.,3,1,
120,9,16,.,20,12,20,4,4,3,2,2,2,1,1,1,4,4,4,4,2,3,4,5,5,4,1,2,3,2,2,4,1,1,2,2,5,5,4,3,5,2,1,1,2,0,2,4,6,5,1,5,1,
121,12,16,16,.,9,20,1,1,1,1,1,1,1,1,1,1,1,1,5,1,2,2,5,4,2,1,2,5,4,1,1,1,.,4,2,4,4,2,3,5,1,1,1,2,0,1,6,5,5,1,8,1,
122,3,16,20,16,6,20,1,1,1,1,1,3,3,3,4,4,5,5,4,2,2,4,4,4,4,2,3,4,2,2,2,2,4,4,4,2,4,4,2,5,1,1,1,3,0,2,4,3,5,2,7,1,
123,15,15,25,3,15,15,5,5,5,5,5,5,5,5,5,5,5,5,2,3,1,2,4,3,5,1,1,5,1,1,1,1,4,2,3,1,5,5,.,4,1,1,1,3,2,3,4,3,3,1,8,1,
124,25,25,15,.,15,20,2,3,3,4,4,4,5,5,5,5,5,5,5,1,1,4,5,5,5,1,3,4,1,2,2,2,4,2,4,2,5,5,6,5,1,1,1,2,0,1,2,4,5,1,6,1,
125,20,12,9,12,25,20,3,3,3,3,3,4,4,4,4,4,4,4,4,2,2,4,4,4,4,1,2,5,2,2,2,2,2,2,2,2,2,4,3,5,1,1,1,2,0,2,3,3,5,2,7,1,
126,16,12,8,10,15,15,4,4,4,4,4,4,4,4,5,5,5,5,4,2,2,5,4,2,4,2,2,2,2,2,2,3,4,3,2,2,2,4,2,5,2,2,1,1,0,1,3,.,5,1,5,1,
127,3,25,15,15,15,25,1,1,1,2,3,3,3,4,5,5,5,5,4,2,4,3,3,5,5,5,2,3,5,5,3,5,3,3,5,3,5,5,4,5,1,2,1,2,0,2,1,.,5,2,4,1,
128,25,16,4,5,4,10,3,3,3,4,4,4,4,4,5,5,5,5,5,2,2,4,3,4,5,1,2,4,3,2,1,1,4,3,4,2,3,5,5,3,2,1,1,2,2,2,6,4,3,2,5,1,
